;nome_entidade;cnpj_entidade;sigla;uf;siglaUf;regiao
22;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA;10.839.508/0001-31;IFRR;Roraima;RR;Norte
23;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA;81.531.428/0001-62;IFSC;Santa Catarina;SC;Sul
24;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO;10.882.594/0001-65;IFSP;São Paulo;SP;Sudeste
25;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ;10.820.882/0001-95;IFAP;Amapá;AP;Norte
26;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS;10.792.928/0001-00;IFAM;Amazonas;AM;Norte
27;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;35.005.347/0001-01;IFCE;Ceará;CE;Nordeste
28;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO;10.838.653/0001-06;IFES;Espírito Santo;ES;Sudeste
29;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO;10.735.145/0001-94;IFMA;Maranhão;MA;Nordeste
30;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS;10.727.655/0001-10;IFNMG;Minas Gerais;MG;Sudeste
31;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ;10.806.496/0001-49;IFPI;Piauí;PI;Nordeste
32;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE;10.877.412/0001-68;IFRN;Rio Grande do Norte;RN;Nordeste
33;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;10.637.926/0001-46;IFRS;Rio Grande do Sul;RS;Sul
34;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL CAMPUS BENTO GONÇALVES;94.728.821/0001-92;IFRS;Rio Grande do Sul;RS;Sul
35;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS;10.648.539/0001-05;IFSULDEMINAS;Minas Gerais;MG;Sudeste
36;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS;10.742.006/0001-98;IFT;Tocantins;TO;Norte
37;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TRIÂNGULO MINEIRO;10.695.891/0001-00;IFTM;Minas Gerais;MG;Sudeste
38;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA;10.662.072/0001-58;IFFARROUP;Rio Grande do Sul;RS;Sul
39;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE;10.779.511/0001-07;IFF;Rio de Janeiro;RJ;Sudeste
40;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO;10.651.417/0001-78;IFGOIANO;Goiás;GO;Centro-Oeste
41;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ;10.763.998/0001-30;IFPA;Pará;PA;Norte
42;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE;10.729.992/0001-46;IFSUL;Rio Grande do Sul;RS;Sul
43;INSTITUTO METODISTA DE ENSINO SUPERIOR;44.351.146/0001-57;IMS;São Paulo;SP;Sudeste
44;INSTITUTO NACIONAL DE EDUCAÇÃO DE SURDOS;29.264.082/0001-63;INES;Rio de Janeiro;RJ;Sudeste
45;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;46.020.301/0001-88;PUC-CAMPINAS;São Paulo;SP;Sudeste
46;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO;60.990.751/0001-24;PUC-SP;São Paulo;SP;Sudeste
47;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO;33.555.921/0001-70;PUC-RJ;Rio de Janeiro;RJ;Sudeste
48;SOCIEDADE BRASILEIRA DE FÍSICA;52.444.700/0001-79;SBF;São Paulo;SP;Sudeste
49;UNIVERDIDADE FEDERAL DO RIO GRANDE;94.877.586/0001-10;FURG;Rio Grande do Sul;RS;Sul
50;UNIVERSIDADE CATÓLICA DE SANTOS;58.191.008/0015-68;UNISANTOS;São Paulo;SP;Sudeste
51;UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ;82.804.642/0001-08;UniChapeco;Santa Catarina;SC;Sul
52;UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA;12.397.930/0001-00;UNILAB;Ceará;CE;Nordeste
53;UNIVERSIDADE DE BRASÍLIA;00.038.174/0001-43;UNB;Distrito Federal;DF;Centro-Oeste
54;UNIVERSIDADE DE CAXIAS DO SUL;88.648.761/0001-03;UCS;Rio Grande do Sul;RS;Sul
55;UNIVERSIDADE DE CRUZ ALTA;92.928.845/0001-60;UNICRUZ;Rio Grande do Sul;RS;Sul
56;UNIVERSIDADE DE PASSO FUNDO;92.034.321/0001-25;UPF;Rio Grande do Sul;RS;Sul
57;UNIVERSIDADE DE PERNAMBUCO;11.022.597/0001-91;UPE;Pernambuco;PE;Nordeste
58;UNIVERSIDADE DE RIBEIRÃO PRETO;55.983.670/0001-67;URP;São Paulo;SP;Sudeste
59;UNIVERSIDADE DE SANTA CRUZ DO SUL;95.438.412/0002-03;UNISC;Rio Grande do Sul;RS;Sul
60;UNIVERSIDADE DE SÃO PAULO;63.025.530/0001-04;USP;São Paulo;SP;Sudeste
61;UNIVERSIDADE DE SÃO PAULO CAMPUS RIBEIRÃO PRETO;63.025.530/0001-04;USP;São Paulo;SP;Sudeste
62;UNIVERSIDADE DE SÃO PAULO CAMPUS SÃO CARLOS;63.025.530/0001-04;USP;São Paulo;SP;Sudeste
63;UNIVERSIDADE DE SOROCABA;71.487.094/0001-13;UNISO;São Paulo;SP;Sudeste
64;UNIVERSIDADE DE TAUBATE;45.176.153/0001-22;UNITAU;São Paulo;SP;Sudeste
65;UNIVERSIDADE DO CONTESTADO;83.395.921/0001-28;UNC;Santa Catarina;SC;Sul
66;UNIVERSIDADE DO ESTADO DA BAHIA;14.485.841/0001-40;UNEB;Bahia;BA;Nordeste
67;UNIVERSIDADE DO ESTADO DE MATO GROSSO;01.367.770/0001-30;UNEMAT;Mato Grosso;MT;Centro-Oeste
68;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;65.172.579/0001-15;UEMG;Minas Gerais;MG;Sudeste
69;UNIVERSIDADE DO ESTADO DE SANTA CATARINA;83.891.283/0001-36;UDESC;Santa Catarina;SC;Sul
70;UNIVERSIDADE DO ESTADO DO AMAPÁ;08.186.277/0001-62;UEAP;Amapá;AP;Norte
71;UNIVERSIDADE DO ESTADO DO AMAZONAS;04.280.196/0001-76;UEA;Amazonas;AM;Norte
72;UNIVERSIDADE DO ESTADO DO PARÁ;34.860.833/0001-44;UEPA;Pará;PA;Norte
73;UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;33.540.014/0001-57;UERJ;Rio de Janeiro;RJ;Sudeste
74;UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE;08.258.295/0001-02;UERN;Rio Grande do Norte;RN;Nordeste
75;UNIVERSIDADE DO EXTREMO SUL CATARINENSE;83.661.074/0001-04;UNESC;Santa Catarina;SC;Sul
76;UNIVERSIDADE DO OESTE DE SANTA CATARINA;84.592.369/0001-20;UNOESC;Santa Catarina;SC;Sul
77;UNIVERSIDADE DO SUL DE SANTA CATARINA;86.445.293/0001-36;UNISUL;Santa Catarina;SC;Sul
78;UNIVERSIDADE DO TOCANTINS;01.637.536/0001-85;UNITINS;Tocantins;TO;Norte
79;UNIVERSIDADE DO VALE DO ITAJAI;84.307.974/0001-02;UNIVALI;Santa Catarina;SC;Sul
80;UNIVERSIDADE DO VALE DO TAQUARI;04.008.342/0001-09;UNIVATES;Rio Grande do Sul;RS;Sul
81;UNIVERSIDADE ESTADUAL DA PARAIBA;12.671.814/0001-37;UEPB;Paraíba;PB;Nordeste
82;UNIVERSIDADE ESTADUAL DE ALAGOAS;02.436.870/0001-33;UNEAL;Alagoas;AL;Nordeste
83;UNIVERSIDADE ESTADUAL DE CAMPINAS;46.068.425/0001-33;UNICAMP;São Paulo;SP;Sudeste
84;UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAUDE DE ALAGOAS;12.517.793/0001-08;UNCISAL;Alagoas;AL;Nordeste
85;UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA;14.045.546/0001-73;UEFS;Bahia;BA;Nordeste
86;UNIVERSIDADE ESTADUAL DE GOIÁS;01.112.580/0001-71;UEG;Goiás;GO;Centro-Oeste
87;UNIVERSIDADE ESTADUAL DE LONDRINA;78.640.489/0001-53;UEL;Paraná;PR;Sul
88;UNIVERSIDADE ESTADUAL DE MARINGÁ;79.151.312/0001-56;UEM;Paraná;PR;Sul
89;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;22.675.359/0001-00;UNIMONTES;Minas Gerais;MG;Sudeste
90;UNIVERSIDADE ESTADUAL DE PONTA GROSSA;80.257.355/0001-08;UEPG;Paraná;PR;Sul
91;UNIVERSIDADE ESTADUAL DE RORAIMA;08.240.695/0001-90;UERR;Roraima;RR;Norte
92;UNIVERSIDADE ESTADUAL DE SANTA CRUZ;40.738.999/0001-95;UESC;Santa Catarina;SC;Sul
93;UNIVERSIDADE ESTADUAL DO CEARÁ;07.885.809/0001-97;UECE;Ceará;CE;Nordeste
94;UNIVERSIDADE ESTADUAL DO CENTRO-OESTE;77.902.914/0001-72;UNICENTRO;Paraná;PR;Sul
95;UNIVERSIDADE ESTADUAL DO MARANHÃO;06.352.421/0001-68;UEMA;Maranhão;MA;Nordeste
96;UNIVERSIDADE ESTADUAL DO MATO GROSSO DO SUL;86.891.363/0001-80;UEMS;Mato Grosso do Sul;MS;Centro-Oeste
97;UNIVERSIDADE ESTADUAL DO NORTE DO PARANÁ;08.885.100/0001-54;UENP;Paraná;PR;Sul
98;UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE;04.809.688/0001-06;UENF;Rio de Janeiro;RJ;Sudeste
99;UNIVERSIDADE ESTADUAL DO OESTE DO  PARANÁ;78.680.337/0001-84;UNIOESTE;Paraná;PR;Sul
100;UNIVERSIDADE ESTADUAL DO PARANÁ;05.012.896/0001-42;UNESPAR;Paraná;PR;Sul
101;UNIVERSIDADE ESTADUAL DO PIAUÍ;07.471.758/0001-57;UESPI;Piauí;PI;Nordeste
102;UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL;04.732.975/0001-65;UERS;Rio Grande do Sul;RS;Sul
103;UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA;13.069.489/0001-08;UESB;Bahia;BA;Nordeste
104;UNIVERSIDADE ESTADUAL DO VALE DO ACARAÚ;07.821.622/0001-20;UVA;Ceará;CE;Nordeste
105;UNIVERSIDADE ESTADUAL PAULISTA;48.031.918/0001-24;UNESP;São Paulo;SP;Sudeste
106;UNIVERSIDADE FEDERAL DA BAHIA;15.180.714/0001-04;UFBA;Bahia;BA;Nordeste
107;UNIVERSIDADE FEDERAL DA FRONTEIRA SUL;11.234.780/0001- 50;UFFS;Rio Grande do Sul;RS;Sul
108;UNIVERSIDADE FEDERAL DA GRANDE DOURADOS;07.775.847/0001-97;UFGD;Mato Grosso do Sul;MS;Centro-Oeste
109;UNIVERSIDADE FEDERAL DA PARAÍBA;24.098.477/0001-10;UFPB;Paraíba;PB;Nordeste
110;UNIVERSIDADE FEDERAL DE ALAGOAS;24.464.109/0001-48;UFAL;Alagoas;AL;Nordeste
111;UNIVERSIDADE FEDERAL DE ALFENAS;17.879.859/0001-15;UNIFAL;Minas Gerais;MG;Sudeste
112;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;05.055.128/0001-76;UFCG;Paraíba;PB;Nordeste
113;UNIVERSIDADE FEDERAL DE GOIÁS;01.567.601/0001-43;UFG;Goiás;GO;Centro-Oeste
114;UNIVERSIDADE FEDERAL DE ITAJUBÁ;21.040.001/0001-30;UNIFEI;Minas Gerais;MG;Sudeste
115;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;21.195.755/0001-69;UFJF;Minas Gerais;MG;Sudeste
116;UNIVERSIDADE FEDERAL DE LAVRAS;22.078.679/0001-74;UFLA;Minas Gerais;MG;Sudeste
117;UNIVERSIDADE FEDERAL DE MATO GROSSO;33.004.540/0001-00;UFMT;Mato Grosso;MT;Centro-Oeste
118;UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;15.461.510/0001-33;UFMS;Mato Grosso do Sul;MS;Centro-Oeste
119;UNIVERSIDADE FEDERAL DE MINAS GERAIS;17.217.985/0001-04;UFMG;Minas Gerais;MG;Sudeste
120;UNIVERSIDADE FEDERAL DE OURO PRETO;23.070.659/0001-10;UFOP;Minas Gerais;MG;Sudeste
121;UNIVERSIDADE FEDERAL DE PELOTAS;92.242.080/0001-00;UFPEL;Rio Grande do Sul;RS;Sul
122;UNIVERSIDADE FEDERAL DE PERNAMBUCO;24.134.488/0001-08;UFPE;Pernambuco;PE;Nordeste
123;UNIVERSIDADE FEDERAL DE RONDÔNIA;04.418.943/0001-90;UNIR;Rondônia;RO;Norte
124;UNIVERSIDADE FEDERAL DE RORAIMA;34.792.077/0001-63;UFRR;Roraima;RR;Norte
125;UNIVERSIDADE FEDERAL DE SANTA CATARINA;83.899.526/0001-82;UFSC;Santa Catarina;SC;Sul
126;UNIVERSIDADE FEDERAL DE SANTA MARIA;95.591.764/0001-05;UFSM;Rio Grande do Sul;RS;Sul
127;UNIVERSIDADE FEDERAL DE SÃO CARLOS;45.358.058/0001-40;UFSCAR;São Paulo;SP;Sudeste
128;UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI;21.186.804/0001-05;UFSJ;Minas Gerais;MG;Sudeste
129;UNIVERSIDADE FEDERAL DE SÃO PAULO;60.453.032/0001-74;UNIFESP;São Paulo;SP;Sudeste
130;UNIVERSIDADE FEDERAL DE SERGIPE;13.031.547/0001-04;UFS;Sergipe;SE;Nordeste
131;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;25.648.387/0001-18;UFU;Minas Gerais;MG;Sudeste
132;UNIVERSIDADE FEDERAL DE VIÇOSA;25.944.455/0001-96;UFV;Minas Gerais;MG;Sudeste
133;UNIVERSIDADE FEDERAL DO ABC;07.722.779/0001-06;UFABC;São Paulo;SP;Sudeste
134;UNIVERSIDADE FEDERAL DO ACRE;04.071.106/0001-37;UFAC;Acre;AC;Norte
135;UNIVERSIDADE FEDERAL DO AMAPÁ;34.868.257/0001-81;UNIFAP;Amapá;AP;Norte
136;UNIVERSIDADE FEDERAL DO AMAZONAS;04.378.626/0001-97;UFAM;Amazonas;AM;Norte
137;UNIVERSIDADE FEDERAL DO CARIRI;18.621.825/0001-99;UFCA;Ceará;CE;Nordeste
138;UNIVERSIDADE FEDERAL DO CEARÁ;07.272.636/0001-31;UFCE;Ceará;CE;Nordeste
139;UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO;32.479.123/0001-43;UFES;Espírito Santo;ES;Sudeste
140;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;34.023.077/0001-07;UNIRIO;Rio de Janeiro;RJ;Sudeste
141;UNIVERSIDADE FEDERAL DO MARANHÃO;06.279.103/0001-19;UFMA;Maranhão;MA;Nordeste
142;UNIVERSIDADE FEDERAL DO OESTE DA BAHIA;18.641.263/0001-45;UFOB;Bahia;BA;Nordeste
143;UNIVERSIDADE FEDERAL DO OESTE DO PARÁ;11.118.393/0001-59;UFOPA;Pará;PA;Norte
144;UNIVERSIDADE FEDERAL DO PAMPA;09.341.233/0001-22;UNIPAMPA;Rio Grande do Sul;RS;Sul
145;UNIVERSIDADE FEDERAL DO PARÁ;34.621.748/0001-23;UFPA;Pará;PA;Norte
146;UNIVERSIDADE FEDERAL DO PARANÁ;75.095.679/0001-49;UFPR;Paraná;PR;Sul
147;UNIVERSIDADE FEDERAL DO PIAUÍ;06.517.387/0001-34;UFPI;Piauí;PI;Nordeste
148;UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA;07.777.800/0001-62;UFRB;Bahia;BA;Nordeste
149;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;33.663.683/0001-16;UFRJ;Rio de Janeiro;RJ;Sudeste
150;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;24.365.710/0001-83;UFRN;Rio Grande do Norte;RN;Nordeste
151;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;92.969.856/0001-98;UFRGS;Rio Grande do Sul;RS;Sul
152;UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ;18.657.063/0001-80;UNIFESSPA;Pará;PA;Norte
153;UNIVERSIDADE FEDERAL DO TOCANTINS;05.149.726/0001-04;UFT;Tocantins;TO;Norte
154;UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO;25.437.484/0001-61;UFTM;Minas Gerais;MG;Sudeste
155;UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO;05.440.725/0001-14;UNIVASF;Ceará;CE;Nordeste
156;UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI;16.888.315/0001-57;UFVJM;Minas Gerais;MG;Sudeste
157;UNIVERSIDADE FEDERAL FLUMINENSE;28.523.215/0001-06;UFF;Rio de Janeiro;RJ;Sudeste
158;UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA;05.200.001/0001-01;UFRA;Amazonas;AM;Norte
159;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;24.416.174/0001-06;UFRPE;Pernambuco;PE;Nordeste
160;UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO;29.427.465/0001-05;UFRRJ;Rio de Janeiro;RJ;Sudeste
161;UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;24.529.265/0001-40;UFERSA;Rio Grande do Norte;RN;Nordeste
162;UNIVERSIDADE METODISTA DE PIRACICABA;54.409.461/0001-41;UNIMEP;São Paulo;SP;Sudeste
163;UNIVERSIDADE PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAI;85.784.023/0001-97;UNIDAVI;Santa Catarina;SC;Sul
164;UNIVERSIDADE PRESBITERIANA MACKENZIE;60.967.551/0001-50;UPM;São Paulo;SP;Sudeste
165;UNIVERSIDADE REGIONAL DE BLUMENAU;82.662.958/0001-02;FURB;Santa Catarina;SC;Sul
166;UNIVERSIDADE REGIONAL DO CARIRI;06.740.864/0001-26;URCA;Ceará;CE;Nordeste
167;UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL;90.738.014/0001-08;UNIJUÍ;Rio Grande do Sul;RS;Sul
168;UNIVERSIDADE SÃO FRANCISCO;33.495.870/0001-38;USF;São Paulo;SP;Sudeste
169;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ;75.101.873/0001-90;UTFPR;Paraná;PR;Sul
170;URI CAMPUS DE ERECHIM;96.216.841/0001-00;URI;Rio Grande do Sul;RS;Sul
